# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float64}
# - {name: lcerr, datatype: float64}
# - {name: transit, datatype: float64}
# - {name: polynom, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr transit polynom model residuals
59958.215925876655 3.25 0.75 0.9864544202486529 0.00037617126898811787 0.978797849059561 1.0073562999959051 0.9859981796725898 0.00045624057606308277
59958.21615994176 3.25 0.75 0.9860913642772561 0.000376059345535586 0.9787799880591328 1.0073559292571428 0.9859798244096029 0.00011153986765322088
59958.21639400686 3.25 0.75 0.9857488603666617 0.00037621800347995574 0.9787623964438935 1.0073555585183918 0.985961740526538 -0.00021288015987630526
59958.21662807196 3.25 0.75 0.9856009372926681 0.00037601883519278417 0.9787450689604865 1.0073551877796292 0.985943922731077 -0.00034298543840893814
59958.21686213705 3.25 0.75 0.9864162865658239 0.00037617028976815646 0.97872800054189 1.00735481704089 0.9859263659186717 0.0004899206471522533
59958.217096202156 3.25 0.75 0.9852527555473768 0.0003759440874355313 0.9787111862920294 1.0073544463021273 0.9859090651569055 -0.0006563096095286713
59958.21733026725 3.25 0.75 0.9858489815083681 0.0003760609405111809 0.978694621484822 1.0073540755633765 0.9858920156846915 -4.303417632345319e-05
59958.21756433235 3.25 0.75 0.986012014086612 0.0003760043157764164 0.9786783015505176 1.0073537048246255 0.985875212898386 0.00013680118822601006
59958.21779839745 3.25 0.75 0.9858651426405616 0.0003760711842325572 0.9786622220709708 1.0073533340858745 0.9858586523470829 6.4902934786559285e-06
59958.218032462544 3.25 0.75 0.9857318145872473 0.0003760818534982724 0.9786463787722087 1.0073529633471237 0.9858423297251161 -0.00011051513786874967
59958.21826652764 3.25 0.75 0.9860629213262555 0.00037607836214399406 0.9786307675179428 1.0073525926083726 0.9858262408655212 0.0002366804607343287
59958.218500592746 3.25 0.75 0.9857340724953708 0.00037605325453192993 0.9786153843029937 1.0073522218696103 0.9858103817334032 -7.630923803236822e-05
59958.218734657836 3.25 0.75 0.9860522349680556 0.00037606703510229206 0.9786002252499224 1.0073518511308708 0.9857947484225964 0.0002574865454592068
59958.21896872294 3.25 0.75 0.9865869143015146 0.000376186847241577 0.9785852865984139 1.0073514803921082 0.9857793371448478 0.0008075771566667944
59958.21920278804 3.25 0.75 0.9857701574032641 0.0003760886434547928 0.9785705647067743 1.0073511096533574 0.9857641442314816 6.013171782504045e-06
59958.219436853135 3.25 0.75 0.9857705100574884 0.0003759279420436396 0.9785560560419578 1.0073507389146064 0.9857491661232292 2.1343934259232533e-05
59958.21967091823 3.25 0.75 0.9857416005278399 0.000376217515676152 0.9785417571773602 1.0073503681758555 0.9857343993680625 7.201159777370236e-06
59958.219904983336 3.25 0.75 0.9859663112601268 0.0003761487199200677 0.9785276647876188 1.007349997437093 0.9857198406159323 0.0002464706441944742
59958.220139048426 3.25 0.75 0.9855109412104003 0.00037595637572638646 0.9785137756467231 1.0073496266983535 0.985705486616923 -0.00019454540652275032
59958.22037311353 3.25 0.75 0.985693274537719 0.00037595788988635997 0.9785000866193935 1.0073492559595911 0.9856913342124415 1.940325277560717e-06
59958.22060717863 3.25 0.75 0.9856544493726175 0.0003759029373331445 0.9784865946634815 1.00734888522084 0.9856773803377942 -2.2930965176692908e-05
59958.220841243725 3.25 0.75 0.985776306985892 0.00037612206459512255 0.9784732968217859 1.0073485144820893 0.9856636220138184 0.00011268497207361783
59958.22107530882 3.25 0.75 0.9853817961026572 0.0003759173441959754 0.9784601902209152 1.0073481437433383 0.9856500563457926 -0.00026826024313542085
59958.22130937392 3.25 0.75 0.9863838174613483 0.00037609108770549586 0.9784472720677486 1.0073477730045872 0.98563668051986 0.0007471369414883133
59958.22154343902 3.25 0.75 0.9856282177741729 0.0003760110998983543 0.978434539646475 1.0073474022658364 0.985623491800046 4.725974126817967e-06
59958.22177750412 3.25 0.75 0.9855100110519555 0.00037601783350525757 0.9784219903153973 1.0073470315270738 0.9856104875250269 -0.00010047647307143137
59958.22201156921 3.25 0.75 0.9854687364045178 0.0003759141651238644 0.9784096215061932 1.0073466607883343 0.9855976651074417 -0.0001289287029239139
59958.222245634315 3.25 0.75 0.9858964605929769 0.00037614261161724973 0.978397430717122 1.007346290049572 0.985585022026926 0.00031143856605087006
59958.22247969941 3.25 0.75 0.9859390806830987 0.00037608530252069856 0.9783854155159831 1.007345919310821 0.9855725558332475 0.0003665248498511131
59958.2227137645 3.25 0.75 0.9855283516270261 0.0003760127634751364 0.9783735735339635 1.0073455485720817 0.9855602641399983 -3.191251297218756e-05
59958.22294782961 3.25 0.75 0.9860496220602152 0.0003761080510595949 0.9783619024635167 1.0073451778333191 0.9855481446224557 0.0005014774377595232
