# %ECSV 1.0
# ---
# datatype:
# - {name: time, datatype: float64}
# - {name: wavelength, datatype: float64}
# - {name: bin_width, datatype: float64}
# - {name: lcdata, datatype: float64}
# - {name: lcerr, datatype: float64}
# - {name: transit, datatype: float64}
# - {name: polynom, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# schema: astropy-2.0
time wavelength bin_width lcdata lcerr transit polynom model residuals
59958.28333662421 3.25 0.75 0.9864735513206607 0.00037884239068030587 0.9791012704129765 1.0072474072052209 0.9861972160148084 0.0002763353058523599
59958.2835706893 3.25 0.75 0.9866169511472914 0.00037886364902087974 0.9791270509768607 1.0072470358629593 0.9862228198296835 0.0003941313176079042
59958.2838047544 3.25 0.75 0.9855149609100591 0.00037873336280690894 0.9791534524925133 1.0072466645206861 0.9862490490769981 -0.0007340881669389843
59958.28403881949 3.25 0.75 0.9860027980785195 0.0003787424002342676 0.9791804973402443 1.0072462931784245 0.9862759262985672 -0.00027312822004765813
59958.284272884586 3.25 0.75 0.986647119960383 0.0003789081887743781 0.9792082092636673 1.0072459218361516 0.9863034754093097 0.0003436445510732744
59958.284506949676 3.25 0.75 0.9862261779197562 0.0003788177544423253 0.9792366134921752 1.00724555049389 0.9863317218206985 -0.00010554390094230648
59958.28474101477 3.25 0.75 0.9859192574269605 0.00037880404196341923 0.9792657368946294 1.0072451791516168 0.986360692595471 -0.0004414351685104734
59958.28497507986 3.25 0.75 0.9860662722510213 0.00037871731511028914 0.9792956081398928 1.0072448078093552 0.986390416609412 -0.0003241443583906767
59958.28520914496 3.25 0.75 0.9868644926678292 0.00037892582794813546 0.9793262578964813 1.0072444364670823 0.9864209247523578 0.00044356791547139895
59958.28544321005 3.25 0.75 0.9869361107530444 0.0003789100156739189 0.9793577190473187 1.0072440651248207 0.9864522501445934 0.00048386060845106993
59958.28567727515 3.25 0.75 0.9868055145189654 0.0003788993527921955 0.9793900269556145 1.0072436937825475 0.986484428404562 0.0003210861144034016
59958.28591134023 3.25 0.75 0.9868769756871244 0.0003788090449302043 0.9794232197583119 1.0072433224402975 0.9865174979445357 0.0003594777425887097
59958.28614540533 3.25 0.75 0.9861794073776778 0.000378743002653565 0.9794573387349971 1.0072429510980245 0.9865515003420559 -0.0003720929643780124
59958.28637947042 3.25 0.75 0.9865122270032886 0.0003789613256598191 0.9794924287180545 1.007242579755763 0.986586480753211 -7.425374992242606e-05
59958.286613535514 3.25 0.75 0.9868341773678955 0.00037896906941911184 0.9795285386156339 1.0072422084134898 0.9866224884392494 0.00021168892864609212
59958.286847600604 3.25 0.75 0.9865740715839796 0.0003788568082001575 0.9795657220221538 1.0072418370712282 0.9866595773815982 -8.550579761856802e-05
59958.2870816657 3.25 0.75 0.9868727320840669 0.0003789461829935977 0.979604037990488 1.0072414657289552 0.9866978070595422 0.00017492502452465253
59958.28731573079 3.25 0.75 0.9863568469914699 0.00037878650883261405 0.9796435519751743 1.0072410943866936 0.9867372434003423 -0.00038039640887244097
59958.28754979589 3.25 0.75 0.9872429434988309 0.00037895302563719936 0.979684337050078 1.0072407230444205 0.9867779600056142 0.0004649834932166641
59958.28778386097 3.25 0.75 0.9859241861617568 0.00037872877142663226 0.9797264754588592 1.0072403517021704 0.9868200397131092 -0.0008958535513523547
59958.28801792607 3.25 0.75 0.9878133635832116 0.00037911980003151594 0.9797700606943543 1.0072399803598975 0.986863576690997 0.000949786892214588
