# rej_sigma = 5
# Rejection = 0.000651401431872709
Epoch,T_pre,T_pre_l,Residual,Top,Down
23,2456646.005081334,2456646.0057298793,-0.0006485451012849808,2.8563305877281732e-06,-0.0012999465331576896
24,2456651.726574253,2456651.7272177874,-0.0006435345858335495,7.866846039159448e-06,-0.0012949360177062583
25,2456657.4480671585,2456657.4487056956,-0.0006385371088981628,1.2864322974546105e-05,-0.0012899385407708717
26,2456663.169560051,2456663.1701936037,-0.0006335526704788208,1.7848761393888146e-05,-0.0012849541023515296
27,2456668.8910529306,2456668.891681512,-0.0006285812705755234,2.282016129718557e-05,-0.0012799827024482322
28,2456674.612545797,2456674.61316942,-0.0006236229091882706,2.7778522684438378e-05,-0.0012750243410609794
29,2456680.3340386506,2456680.334657328,-0.0006186775863170624,3.272384555564657e-05,-0.0012700790181897712
30,2456686.055531491,2456686.0561452364,-0.0006137453019618988,3.7656129910810143e-05,-0.0012651467338346076
31,2456691.7770243185,2456691.7776331445,-0.0006088260561227798,4.25753757499291e-05,-0.0012602274879954887
32,2456697.498517133,2456697.4991210527,-0.0006039198487997055,4.748158307300344e-05,-0.0012553212806724143
33,2456703.220009934,2456703.220608961,-0.0005990266799926758,5.2374751880033166e-05,-0.0012504281118653846
34,2456708.9415027224,2456708.942096869,-0.0005941465497016907,5.725488217101827e-05,-0.0012455479815743995
35,2456714.6629954977,2456714.663584777,-0.0005892794579267502,6.212197394595876e-05,-0.001240680889799459
36,2456720.38448826,2456720.3850726853,-0.0005844254046678543,6.697602720485464e-05,-0.0012358268365405631
37,2456726.105981009,2456726.1065605935,-0.000579584389925003,7.18170419477059e-05,-0.0012309858217977119
38,2456731.8274737448,2456731.8280485016,-0.0005747568793594837,7.664455251322523e-05,-0.0012261583112321926
39,2456737.5489664674,2456737.54953641,-0.000569942407310009,8.145902456269994e-05,-0.0012213438391827178
40,2456743.270459177,2456743.271024318,-0.0005651409737765789,8.626045809613004e-05,-0.0012165424056492877
41,2456748.9919518735,2456748.992512226,-0.0005603525787591934,9.104885311351553e-05,-0.0012117540106319023
42,2456754.713444557,2456754.7140001343,-0.0005555772222578526,9.582420961485639e-05,-0.0012069786541305614
43,2456760.4349372275,2456760.4354880424,-0.0005508149042725563,0.00010058652760015264,-0.0012022163361452651
44,2456766.156429885,2456766.1569759506,-0.0005460656248033047,0.00010533580706940427,-0.0011974670566760135
45,2456771.8779225294,2456771.8784638587,-0.0005413293838500977,0.00011007204802261129,-0.0011927308157228065
46,2456777.5994151607,2456777.599951767,-0.0005366061814129353,0.00011479525045977369,-0.001188007613285644
47,2456783.320907779,2456783.321439675,-0.0005318960174918175,0.00011950541438089147,-0.0011832974493645263
48,2456789.042400384,2456789.042927583,-0.0005271993577480316,0.00012420207412467733,-0.0011786007896207405
49,2456794.7638929756,2456794.7644154914,-0.0005225157365202904,0.00012888569535241857,-0.0011739171683929992
50,2456800.4853855544,2456800.4859033995,-0.0005178451538085938,0.0001335562780641152,-0.0011692465856813026
51,2456806.20687812,2456806.2073913077,-0.0005131876096129417,0.0001382138222597672,-0.0011645890414856506
52,2456811.9283706727,2456811.928879216,-0.0005085431039333344,0.0001428583279393746,-0.0011599445358060432
53,2456817.6498632124,2456817.650367124,-0.0005039116367697716,0.00014748979510293737,-0.0011553130686424804
54,2456823.371355739,2456823.371855032,-0.0004992932081222534,0.00015210822375045553,-0.0011506946399949623
55,2456829.0928482525,2456829.0933429403,-0.0004946878179907799,0.00015671361388192907,-0.0011460892498634887
56,2456834.8143407525,2456834.8148308485,-0.0004900959320366383,0.0001613054998360707,-0.001141497363909347
57,2456840.5358332396,2456840.5363187566,-0.00048551708459854126,0.0001658843472741677,-0.00113691851647125
58,2456846.2573257135,2456846.257806665,-0.0004809512756764889,0.00017045015619622007,-0.0011323527075491977
59,2456851.9788181745,2456851.979294573,-0.0004763985052704811,0.00017500292660222784,-0.00112779993714319
60,2456857.7003106223,2456857.700782481,-0.00047185877338051796,0.000179542658492191,-0.0011232602052532268
61,2456863.421803057,2456863.4222703893,-0.0004673320800065994,0.00018406935186610952,-0.0011187335118793083
62,2456869.143295479,2456869.1437582974,-0.0004628184251487255,0.00018858300672398344,-0.0011142198570214343
63,2456874.8647878873,2456874.8652462056,-0.0004583182744681835,0.00019308315740452543,-0.0011097197063408924
64,2456880.5862802826,2456880.5867341137,-0.00045383116230368614,0.0001975702695690228,-0.001105232594176395
65,2456886.307772665,2456886.308222022,-0.0004493570886552334,0.00020204434321747556,-0.0011007585205279422
66,2456892.029265034,2456892.02970993,-0.00044489605352282524,0.0002065053783498837,-0.001096297485395534
67,2456897.75075739,2456897.751197838,-0.0004404480569064617,0.00021095337496624723,-0.0010918494887791706
68,2456903.4722497333,2456903.4726857464,-0.0004360130988061428,0.00021538833306656614,-0.0010874145306788516
69,2456909.193742063,2456909.1941736545,-0.0004315916448831558,0.00021980978698955312,-0.0010829930767558647
70,2456914.9152343795,2456914.9156615627,-0.00042718322947621346,0.0002242182023964955,-0.0010785846613489223
71,2456920.636726683,2456920.637149471,-0.0004227878525853157,0.00022861357928739324,-0.0010741892844580245
72,2456926.3582189735,2456926.358637379,-0.00041840551421046257,0.00023299591766224638,-0.0010698069460831714
73,2456932.079711251,2456932.080125287,-0.00041403621435165405,0.0002373652175210549,-0.0010654376462243629
74,2456937.801203515,2456937.8016131953,-0.00040968041867017746,0.0002417210132025315,-0.0010610818505428863
75,2456943.522695766,2456943.5231011035,-0.0004053376615047455,0.00024606377036796346,-0.0010567390933774543
76,2456949.2441880037,2456949.2445890117,-0.0004010079428553581,0.0002503934890173508,-0.001052409374728067
77,2456954.9656802285,2456954.96607692,-0.0003966912627220154,0.00025471016915069357,-0.0010480926945947242
78,2456960.6871724403,2456960.687564828,-0.00039238762110471725,0.0002590138107679917,-0.001043789052977426
79,2456966.4086646386,2456966.409052736,-0.00038809748366475105,0.0002633039482079579,-0.00103949891553746
80,2456972.130156824,2456972.1305406443,-0.00038382038474082947,0.0002675810471318795,-0.0010352218166135383
81,2456977.851648996,2456977.8520285524,-0.0003795563243329525,0.00027184510753975645,-0.0010309577562056613
82,2456983.5731411553,2456983.5735164606,-0.00037530530244112015,0.0002760961294315888,-0.001026706734313829
83,2456989.294633301,2456989.2950043688,-0.0003710677847266197,0.0002803336471460892,-0.0010224692165993286
84,2456995.0161254336,2456995.016492277,-0.0003668433055281639,0.00028455812634454504,-0.0010182447374008727
85,2457000.737617553,2457000.737980185,-0.0003626318648457527,0.00028876956702695623,-0.0010140332967184616
86,2457006.45910966,2457006.4594680932,-0.00035843346267938614,0.0002929679691933228,-0.001009834894552095
87,2457012.1806017533,2457012.1809560014,-0.0003542480990290642,0.00029715333284364477,-0.001005649530901773
88,2457017.9020938333,2457017.9024439096,-0.00035007623955607414,0.0003013251923166348,-0.001001477671428783
89,2457023.6235859003,2457023.6239318177,-0.0003459174185991287,0.0003054840132735802,-0.0009973188504718376
90,2457029.345077954,2457029.345419726,-0.0003417716361582279,0.000309629795714481,-0.0009931730680309368
91,2457035.066569995,2457035.066907634,-0.00033763889223337173,0.0003137625396393372,-0.0009890403241060806
92,2457040.7880620225,2457040.788395542,-0.0003335196524858475,0.0003178817793868615,-0.0009849210843585563
93,2457046.509554037,2457046.5098834503,-0.00032941345125436783,0.0003219879806183411,-0.0009808148831270767
94,2457052.231046038,2457052.2313713585,-0.0003253202885389328,0.00032608114333377615,-0.0009767217204116416
95,2457057.9525380265,2457057.9528592667,-0.0003212401643395424,0.00033016126753316656,-0.0009726415962122513
96,2457063.6740300013,2457063.674347175,-0.0003171735443174839,0.00033422788755522505,-0.0009685749761901928
97,2457069.395521963,2457069.395835083,-0.00031311996281147003,0.0003382814690612389,-0.000964521394684179
98,2457075.1170139117,2457075.117322991,-0.0003090794198215008,0.00034232201205120817,-0.0009604808516942097
