1458,2458469.067729741,0.000846920270648361
1459,2458470.5767552527,0.0007907345091850326
1460,2458472.085585081,0.0008412581218429168
1461,2458473.5941093876,0.0008097427852902995
1462,2458475.1036512,0.0008104423887407115
1463,2458476.611643413,0.0007825199374627326
1465,2458479.630218432,0.0009333798947970322
1466,2458481.139087066,0.0008714288867963588
1467,2458482.6480230475,0.0008599937685570807
1468,2458484.1580553353,0.0008772027307495182
1469,2458485.6665752553,0.0008215455579606553
1470,2458487.175145904,0.000880944575445646
1471,2458488.684505629,0.0008070330357462265
1944,2459202.4248505374,0.0008169560967995107
1945,2459203.934322531,0.0008371323305732711
1946,2459205.4435436856,0.000794895991437766
1947,2459206.953029733,0.0008183008912371551
1948,2459208.46189773,0.000796780944020364
1949,2459209.9707087255,0.0008599677537281657
1950,2459211.4799745465,0.0008603245606343761
1951,2459212.989115123,0.0008497102656923103
1953,2459216.0067805056,0.0007871918269808693
1954,2459217.515462472,0.0008152317237069683
1955,2459219.024665464,0.0008188860690603707
1956,2459220.5328797037,0.0009075949460337201
1957,2459222.042582941,0.0008174753993287937
1958,2459223.5509356535,0.0008834330303985594
1959,2459225.061215094,0.0007957037999065036
1960,2459226.5694172294,0.0008398128512729275
