# Parameter Name     	 	 Median       	 	 Upper 68 CI  	 	 Lower 68 CI 
t0_p1              	 	 60107.0058578950 	 	 0.0000085393 	 	 0.0000088308
p_p1               	 	 0.1430938219 	 	 0.0001094848 	 	 0.0001254706
b_p1               	 	 0.1491068832 	 	 0.0097931397 	 	 0.0117234124
ecc_p1             	 	 0.0185646912 	 	 0.0054005631 	 	 0.0036494955
a_p1               	 	 17.6424407895 	 	 0.0705935689 	 	 0.0951910053
q1_SOSS            	 	 0.2204033145 	 	 0.0096494475 	 	 0.0085549451
q2_SOSS            	 	 0.2972084819 	 	 0.0125596263 	 	 0.0116278161
sigma_w_SOSS       	 	 119.3656187346 	 	 2.8677672031 	 	 2.3665176265
theta0_SOSS        	 	 -0.1825935390 	 	 0.2912474911 	 	 0.3182480020
theta1_SOSS        	 	 0.3209135087 	 	 0.3484169027 	 	 0.3183410498
