Parameter,Mean,-1sigma,+1sigma,16th,50th,84th
rp,0.14368642521519798,-7.503459068491924e-05,7.497055331706637e-05,0.14361143708824756,0.14368647167893248,0.14376144223224954
t0,60118.44889366854,-1.4799952623434365e-05,1.4769066183362156e-05,60118.44887889691,60118.44889369686,60118.44890846593
u2,0.18176212644074452,-0.005775008524691039,0.005729084792438083,0.1759994550255164,0.18177446355020743,0.18750354834264552
c0,1.0082648749461351,-9.21123313268879e-06,9.195642012516103e-06,1.0082556656808939,1.0082648769140266,1.008274072556039
c1,-0.0016201305647234082,-9.9662026437393e-05,9.87664446748459e-05,-0.00171951136638194,-0.001619849339944547,-0.001521082895269701
scatter_mult,4.401449522398353,-0.08954861949131132,0.0926397536268686,4.310434970007203,4.399983589498515,4.492623343125383
